university,name,university_url,modality,price,location,credits
Escola Técnica Superior d'Enginyería de Telecomunicació de Barcelona (ETSETB) - Universitat Politècnica de Catalunya. BarcelonaTech,Título Oficial de Grado en Ciencia e Ingeniería de Datos.,https://www.gradomania.com/escola-tecnica-superior-denginyeria-de-telecomunicacio-de-barcelona-etsetb-universitat-politecnica-de-catalunya-barcelon-2661_q04.html,Presencial,Información no disponible,BarcelonaEspaña,240 ECTS
Facultat d'Informàtica de Barcelona (FIB) - Universitat Politècnica de Catalunya. BarcelonaTech,Título Oficial de Grado en Ciencia e Ingeniería de Datos.,https://www.gradomania.com/facultat-dinformatica-de-barcelona-fib-universitat-politecnica-de-catalunya-barcelonatech-2667_q04.html,Presencial,Información no disponible,BarcelonaEspaña,240 ECTS
Facultat de Matemàtiques i Estadística (FME) - Universitat Politècnica de Catalunya. BarcelonaTech,Título Oficial de Grado en Ciencia e Ingeniería de Datos.,https://www.gradomania.com/facultat-de-matematiques-i-estadistica-fme-universitat-politecnica-de-catalunya-barcelonatech-2668_q04.html,Presencial,Información no disponible,"Campus Sur de la Diagonal  C. Pau Gargallo, 14Barcelona 08028España",240 ECTS
Escuela Técnica Superior de Ingenieros Agrónomos - Universidad Pública de Navarra,Título Oficial de Grado en Ciencia de Datos.,https://www.gradomania.com/escuela-tecnica-superior-de-ingenieros-agronomos-universidad-publica-de-navarra-2595_q04.html,Presencial,Información no disponible,Navarra / NafarroaEspaña,240 ECTS
Estudios Oficiales UOC - Universitat Oberta de Catalunya UOC,Grado de Ciencia de Datos Aplicada (Applied Data Science),https://www.gradomania.com/estudios-oficiales-uoc-universitat-oberta-de-catalunya-uoc-2693_q04.html,Online,Información no disponible,Se imparte Online,240 ECTS
Escuela Politécnica Superior - Universidad Carlos III de Madrid - UC3M,Grado en Ciencia e Ingeniería de Datos,https://www.gradomania.com/escuela-politecnica-superior-universidad-carlos-iii-de-madrid-uc3m-1527_q04.html,Presencial,Información no disponible,Leganés (Madrid)España,240 ECTS
Escola Superior Politècnica - Universitat Pompeu Fabra,Grado en Ingeniería Matemática en Ciencia de Datos,https://www.gradomania.com/escola-superior-politecnica-universitat-pompeu-fabra-1663_q04.html,Presencial,Información no disponible,BarcelonaEspaña,240 ECTS
