url,name,university,university_url,modality,price,location,credits,years
https://www.gradomania.com/bachelor-information-technology-computer-and-communication-networks-grado-en-tecnologias-de-la-informacion-canada-301366_q08.html,Bachelor of Information Technology (Computer and Communication Networks),School of Engineering Technology and Applied Science - Centennial College - Toronto,https://www.gradomania.com/school-engineering-technology-and-applied-science-centennial-college-toronto-5091_q04.html,Presencial,Consultar rellenando el formulario,,240,4.0
https://www.gradomania.com/grado-oficial-internacional-en-computing-digital-technology-madrid-y-reino-unido-madrid-301677_q08.html,Grado Oficial Internacional en Computing & Digital Technology,MSMK University - MSMK - Madrid School of Marketing,https://www.gradomania.com/msmk-university-msmk-madrid-school-marketing-5629_q04.html,Presencial,Consultar rellenando el formulario,,240,4.0
https://www.gradomania.com/grado-oficial-internacional-en-computing-madrid-y-reino-unido-madrid-301678_q08.html,Grado Oficial Internacional en Computing,MSMK University - MSMK - Madrid School of Marketing,https://www.gradomania.com/msmk-university-msmk-madrid-school-marketing-5629_q04.html,Presencial,Consultar rellenando el formulario,,240,4.0
https://www.gradomania.com/doble-titulacio-de-grau-en-enginyeria-informatica-grau-en-direccio-dempreses-tecnologiques-barcelona-268801_q08.html,Grau Universitari Oficial de La Salle - Universitat Ramon Llull,La Salle - Ramón Llull - La Salle Campus Barcelona – Universidad Ramon Llull,https://www.gradomania.com/la-salle-ramon-llull-la-salle-campus-barcelona-universidad-ramon-llull-3139_q04.html,Presencial,Consultar rellenando el formulario,,391,6.516666666666667
https://www.gradomania.com/official-bachelor-degree-data-science-madrid-301679_q08.html,Official Bachelor Degree in Data Science,MSMK University - MSMK - Madrid School of Marketing,https://www.gradomania.com/msmk-university-msmk-madrid-school-marketing-5629_q04.html,Presencial,Consultar rellenando el formulario,,0,0.0
https://www.gradomania.com/grado-oficial-internacional-en-inteligencia-artificial-madrid-y-reino-unido-madrid-301680_q08.html,Grado Oficial Internacional en Inteligencia Artificial,MSMK University - MSMK - Madrid School of Marketing,https://www.gradomania.com/msmk-university-msmk-madrid-school-marketing-5629_q04.html,Presencial,Consultar rellenando el formulario,,240,4.0
https://www.gradomania.com/grado-oficial-internacional-en-intelligent-systems-madrid-y-reino-unido-madrid-301681_q08.html,Grado Oficial Internacional en Intelligent Systems,MSMK University - MSMK - Madrid School of Marketing,https://www.gradomania.com/msmk-university-msmk-madrid-school-marketing-5629_q04.html,Presencial,Consultar rellenando el formulario,,240,4.0
https://www.gradomania.com/grado-oficial-internacional-en-robotica-madrid-y-reino-unido-madrid-301682_q08.html,Grado Oficial Internacional en Robótica,MSMK University - MSMK - Madrid School of Marketing,https://www.gradomania.com/msmk-university-msmk-madrid-school-marketing-5629_q04.html,Presencial,Consultar rellenando el formulario,,240,4.0
https://www.gradomania.com/double-degree-qualification-international-computer-engineering-and-business-management-and-technology-barcelona-285864_q08.html,Double Degree Qualification in International Computer and Management of Business and Technology,La Salle - Ramón Llull - La Salle Campus Barcelona – Universidad Ramon Llull,https://www.gradomania.com/la-salle-ramon-llull-la-salle-campus-barcelona-universidad-ramon-llull-3139_q04.html,Presencial,Consultar rellenando el formulario,,0,0.0
https://www.gradomania.com/grado-en-administracion-y-direccion-de-empresas-master-en-data-science-madrid-311563_q08.html,Grado en Administración y Dirección de Empresas + Máster en Data Science,CUNEF - CUNEF - Colegio Universitario de Estudios Financieros,https://www.gradomania.com/cunef-cunef-colegio-universitario-de-estudios-financieros-2723_q04.html,Presencial,Consultar rellenando el formulario,,300,5.0
